date,bar_time_gmt,bar_close,bar_high,bar_low,atr_d1,prev_high,prev_low,w1_close,w1_ema,trend_dir,threshold,allow_long,allow_short,signal,skip_reason,entry_price,sl,tp
2021.01.04,2021.01.04 01:00:00,1913.10,1914.93,1907.72,23.844,1900.38,1885.41,1893.68,1862.998,LONG,23.844,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.04,2021.01.04 02:00:00,1913.41,1913.64,1909.90,23.844,1900.38,1885.41,1893.68,1863.025,LONG,23.844,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.04,2021.01.04 03:00:00,1916.61,1918.71,1912.16,23.844,1900.38,1885.41,1893.68,1863.262,LONG,23.844,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.04,2021.01.04 04:00:00,1921.79,1921.89,1915.49,23.844,1900.38,1885.41,1893.68,1863.646,LONG,23.844,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.04,2021.01.04 05:00:00,1923.19,1925.26,1920.82,23.844,1900.38,1885.41,1893.68,1863.751,LONG,23.844,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.04,2021.01.04 06:00:00,1922.67,1923.71,1920.24,23.844,1900.38,1885.41,1893.68,1863.711,LONG,23.844,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.04,2021.01.04 07:00:00,1921.66,1922.99,1918.93,23.844,1900.38,1885.41,1893.68,1863.637,LONG,23.844,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.04,2021.01.04 08:00:00,1922.99,1925.60,1921.47,23.844,1900.38,1885.41,1893.68,1863.735,LONG,23.844,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.04,2021.01.04 09:00:00,1924.80,1925.54,1922.47,23.844,1900.38,1885.41,1893.68,1863.873,LONG,23.844,YES,NO,LONG,,1924.80,1889.03,1996.33
2021.01.04,2021.01.04 10:00:00,1932.07,1935.16,1924.59,23.844,1900.38,1885.41,1893.68,1864.405,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 11:00:00,1932.21,1933.94,1930.51,23.844,1900.38,1885.41,1893.68,1864.411,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 12:00:00,1933.48,1934.50,1927.88,23.844,1900.38,1885.41,1893.68,1864.519,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 13:00:00,1933.46,1936.52,1932.37,23.844,1900.38,1885.41,1893.68,1864.511,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 14:00:00,1931.97,1934.89,1930.05,23.844,1900.38,1885.41,1893.68,1864.404,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 15:00:00,1939.77,1942.01,1929.78,23.844,1900.38,1885.41,1893.68,1864.982,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 16:00:00,1941.34,1943.69,1936.66,23.844,1900.38,1885.41,1893.68,1865.096,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 17:00:00,1942.82,1944.43,1929.39,23.844,1900.38,1885.41,1893.68,1865.215,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 18:00:00,1940.01,1943.56,1937.27,23.844,1900.38,1885.41,1893.68,1864.996,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 19:00:00,1937.08,1941.62,1932.68,23.844,1900.38,1885.41,1893.68,1864.780,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 20:00:00,1943.67,1943.71,1936.27,23.844,1900.38,1885.41,1893.68,1865.266,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 21:00:00,1942.50,1943.72,1939.24,23.844,1900.38,1885.41,1893.68,1865.180,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 22:00:00,1943.65,1944.10,1940.89,23.844,1900.38,1885.41,1893.68,1865.265,LONG,23.844,YES,NO,NONE,TRADE_ALREADY_TAKEN,,,
2021.01.04,2021.01.04 23:00:00,1943.23,1943.97,1941.75,25.772,1944.43,1907.72,1893.68,1865.105,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 01:00:00,1941.82,1945.58,1940.51,25.772,1944.43,1907.72,1893.68,1865.120,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 02:00:00,1938.53,1941.72,1937.81,25.772,1944.43,1907.72,1893.68,1864.886,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 03:00:00,1937.44,1939.67,1934.31,25.772,1944.43,1907.72,1893.68,1864.808,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 04:00:00,1939.43,1940.09,1936.76,25.772,1944.43,1907.72,1893.68,1864.951,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 05:00:00,1941.16,1944.03,1939.24,25.772,1944.43,1907.72,1893.68,1865.078,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 06:00:00,1939.70,1941.96,1936.70,25.772,1944.43,1907.72,1893.68,1864.973,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 07:00:00,1938.48,1940.86,1937.73,25.772,1944.43,1907.72,1893.68,1864.885,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 08:00:00,1940.69,1942.33,1937.00,25.772,1944.43,1907.72,1893.68,1865.045,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 09:00:00,1939.70,1943.95,1939.11,25.772,1944.43,1907.72,1893.68,1864.977,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 10:00:00,1942.40,1943.63,1939.47,25.772,1944.43,1907.72,1893.68,1865.173,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 11:00:00,1945.61,1948.27,1941.73,25.772,1944.43,1907.72,1893.68,1865.411,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 12:00:00,1946.88,1947.61,1943.52,25.772,1944.43,1907.72,1893.68,1865.505,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 13:00:00,1949.90,1950.31,1946.27,25.772,1944.43,1907.72,1893.68,1865.725,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 14:00:00,1949.09,1950.53,1945.51,25.772,1944.43,1907.72,1893.68,1865.667,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 15:00:00,1949.40,1951.90,1946.23,25.772,1944.43,1907.72,1893.68,1865.694,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 16:00:00,1945.65,1952.53,1941.52,25.772,1944.43,1907.72,1893.68,1865.279,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 17:00:00,1943.46,1948.93,1939.04,25.772,1944.43,1907.72,1893.68,1865.251,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
2021.01.05,2021.01.05 18:00:00,1950.58,1951.51,1942.79,25.772,1944.43,1907.72,1893.68,1865.785,LONG,25.772,YES,NO,NONE,NO_BREAKOUT,,,
