bar_time_gmt,date,py_signal,mql_signal,py_skip,mql_skip,py_trend,mql_trend,divergences
2023-01-03 01:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.367 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 02:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.457 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 03:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.301 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 04:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.032 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 05:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.241 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 06:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.181 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 07:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.177 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 08:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.293 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 09:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.711 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 10:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.863 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 11:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.060 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 12:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.742 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 13:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.645 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 14:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.768 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 15:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.068 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 16:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.512 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 17:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.646 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 18:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1765.729 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 19:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.100 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 20:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.064 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 21:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.080 | threshold: PY=23.058 vs MQL=23.571
2023-01-03 22:00:00,2023-01-03,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=23.058 vs MQL=23.571 | w1_ema: PY=1760.240 vs MQL=1766.005 | threshold: PY=23.058 vs MQL=23.571
