bar_time_gmt,date,py_signal,mql_signal,py_skip,mql_skip,py_trend,mql_trend,divergences
2024-01-02 01:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1979.847 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 02:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1979.976 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 03:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1980.055 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 04:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1980.154 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 05:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1980.289 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 06:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1980.290 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 07:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1980.638 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 08:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1980.612 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 09:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1980.557 | threshold: PY=24.971 vs MQL=24.213
2024-01-02 10:00:00,2024-01-02,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=24.971 vs MQL=24.213 | w1_ema: PY=1973.139 vs MQL=1980.559 | threshold: PY=24.971 vs MQL=24.213
