bar_time_gmt,date,py_signal,mql_signal,py_skip,mql_skip,py_trend,mql_trend,divergences
2021-01-04 01:00:00,2021-01-04,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1862.998 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 02:00:00,2021-01-04,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1863.025 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 03:00:00,2021-01-04,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1863.262 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 04:00:00,2021-01-04,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1863.646 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 05:00:00,2021-01-04,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1863.751 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 06:00:00,2021-01-04,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1863.711 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 07:00:00,2021-01-04,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1863.637 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 08:00:00,2021-01-04,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1863.735 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 09:00:00,2021-01-04,NONE,LONG,NO_BREAKOUT,,LONG,LONG,signal: PY='NONE' vs MQL='LONG' | skip_reason: PY='NO_BREAKOUT' vs MQL='nan' | atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1863.873 | threshold: PY=26.913 vs MQL=23.844 | entry_price: PY=nan vs MQL=1924.8 | sl: PY=nan vs MQL=1889.03 | tp: PY=nan vs MQL=1996.33
2021-01-04 10:00:00,2021-01-04,LONG,NONE,,TRADE_ALREADY_TAKEN,LONG,LONG,signal: PY='LONG' vs MQL='NONE' | skip_reason: PY='nan' vs MQL='TRADE_ALREADY_TAKEN' | atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1864.405 | threshold: PY=26.913 vs MQL=23.844 | entry_price: PY=1932.07 vs MQL=nan | sl: PY=1891.7 vs MQL=nan | tp: PY=2012.81 vs MQL=nan
2021-01-04 11:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1864.411 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 12:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1864.519 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 13:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1864.511 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 14:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1864.404 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 15:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1864.982 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 16:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1865.096 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 17:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1865.215 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 18:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1864.996 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 19:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1864.780 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 20:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1865.266 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 21:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1865.180 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 22:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,TRADE_ALREADY_TAKEN,LONG,LONG,atr_d1: PY=26.913 vs MQL=23.844 | w1_ema: PY=1857.421 vs MQL=1865.265 | threshold: PY=26.913 vs MQL=23.844
2021-01-04 23:00:00,2021-01-04,NONE,NONE,TRADE_ALREADY_TAKEN,NO_BREAKOUT,LONG,LONG,skip_reason: PY='TRADE_ALREADY_TAKEN' vs MQL='NO_BREAKOUT' | atr_d1: PY=26.913 vs MQL=25.772 | prev_high: PY=1900.380 vs MQL=1944.430 | prev_low: PY=1885.410 vs MQL=1907.720 | w1_ema: PY=1857.421 vs MQL=1865.105 | threshold: PY=26.913 vs MQL=25.772
2021-01-05 01:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1865.120 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 02:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1864.886 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 03:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1864.808 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 04:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1864.951 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 05:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1865.078 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 06:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1864.973 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 07:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1864.885 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 08:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1865.045 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 09:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1864.977 | threshold: PY=26.332 vs MQL=25.772
2021-01-05 10:00:00,2021-01-05,NONE,NONE,NO_BREAKOUT,NO_BREAKOUT,LONG,LONG,atr_d1: PY=26.332 vs MQL=25.772 | w1_ema: PY=1857.421 vs MQL=1865.173 | threshold: PY=26.332 vs MQL=25.772
