is_period,oos_year,fast,slow,adx,tp_mult,is_pf,is_n,oos_n,oos_pf,oos_pf_cost
2014-2018,2019,10,50,20.0,2.0,2.097,89,17,2.444,2.251
2016-2020,2021,10,50,20.0,2.0,2.571,69,13,0.833,0.768
2017-2021,2022,10,50,20.0,2.0,2.203,61,18,1.333,1.228
2018-2022,2023,10,50,20.0,2.0,2.111,62,17,1.905,1.754
2019-2023,2024,10,50,25.0,3.0,2.022,29,10,2.0,1.865
