date,reason,asian_high,asian_low,range_pips,w1_close,w1_ema,trend,london_close_07,london_close_08,london_close_09,signal_dir,entry_price
2017-01-02,no_breakout_in_window,1.23539,1.23191,34.8,1.23245,1.28298,short,1.23403,1.23372,1.23415,0,
2017-01-03,no_breakout_in_window,1.23064,1.22599,46.5,1.23245,1.28298,short,1.22951,1.23035,1.22862,0,
2017-01-04,no_breakout_in_window,1.2246,1.22204,25.6,1.23245,1.28298,short,1.22448,1.22465,1.22663,0,
2017-01-05,no_breakout_in_window,1.23484,1.23122,36.2,1.23245,1.28298,short,1.23371,1.23565,1.23153,0,
2017-01-06,signal_short,1.24301,1.23794,50.7,1.23245,1.28298,short,1.2379,1.23765,1.23777,-1,1.23794
2017-01-09,signal_short,1.22702,1.22297,40.5,1.22799,1.27891,short,1.21862,1.21786,1.2182,-1,1.22297
2017-01-10,no_breakout_in_window,1.21796,1.2135,44.6,1.22799,1.27891,short,1.21512,1.21406,1.21467,0,
2017-01-11,signal_short,1.21974,1.2158,39.4,1.22799,1.27891,short,1.21571,1.21612,1.21612,-1,1.2158
2017-01-12,no_breakout_in_window,1.22199,1.21678,52.1,1.22799,1.27891,short,1.22155,1.22459,1.22598,0,
2017-01-13,no_breakout_in_window,1.21733,1.2139,34.3,1.22799,1.27891,short,1.21572,1.21607,1.21672,0,
2017-01-16,range_too_large,1.2054,1.19903,63.7,,,,,,,0,
2017-01-17,range_too_large,1.20797,1.20164,63.3,,,,,,,0,
2017-01-18,range_too_large,1.24128,1.2329,83.8,,,,,,,0,
2017-01-19,no_breakout_in_window,1.22896,1.22491,40.5,1.21713,1.27433,short,1.22766,1.22854,1.22801,0,
2017-01-20,no_breakout_in_window,1.23713,1.23289,42.4,1.21713,1.27433,short,1.23481,1.23597,1.23307,0,
2017-01-23,range_too_large,1.24446,1.23684,76.2,,,,,,,0,
2017-01-24,signal_short,1.25444,1.25022,42.2,1.23701,1.27157,short,1.25091,1.24844,1.24689,-1,1.25022
2017-01-25,signal_short,1.25414,1.25063,35.1,1.23701,1.27157,short,1.25123,1.2509,1.24946,-1,1.25063
2017-01-26,no_breakout_in_window,1.26621,1.26246,37.5,1.23701,1.27157,short,1.26552,1.26467,1.26286,0,
2017-01-27,signal_short,1.2605,1.25603,44.7,1.23701,1.27157,short,1.25544,1.25348,1.25557,-1,1.25603
