date,reason,asian_high,asian_low,range_pips,w1_close,w1_ema,trend,london_close_07,london_close_08,london_close_09,signal_dir,entry_price
2019-01-02,asian_bars_insufficient,,,,,,,,,,0,
2019-01-03,range_too_large,1.26093,1.23953,214.0,,,,,,,0,
2019-01-04,no_breakout_in_window,1.26448,1.26151,29.7,1.26945,1.29541,short,1.26335,1.26349,1.26495,0,
2019-01-07,no_breakout_in_window,1.27501,1.27073,42.8,1.2723,1.29369,short,1.27482,1.27461,1.2748,0,
2019-01-08,no_breakout_in_window,1.27883,1.27533,35.0,1.2723,1.29369,short,1.27625,1.27678,1.27617,0,
2019-01-09,no_breakout_in_window,1.27484,1.27068,41.6,1.2723,1.29369,short,1.2742,1.27345,1.27318,0,
2019-01-10,signal_short,1.28009,1.27718,29.1,1.2723,1.29369,short,1.27869,1.27797,1.27612,-1,1.27718
2019-01-11,no_breakout_in_window,1.27678,1.27375,30.3,1.2723,1.29369,short,1.27608,1.27551,1.27516,0,
2019-01-14,signal_short,1.28637,1.28401,23.6,1.28335,1.29293,short,1.28497,1.28455,1.28385,-1,1.28401
2019-01-15,range_too_large,1.29143,1.28524,61.9,,,,,,,0,
2019-01-16,no_breakout_in_window,1.2872,1.28241,47.9,1.28335,1.29293,short,1.28667,1.28421,1.28551,0,
2019-01-17,signal_short,1.28899,1.28649,25.0,1.28335,1.29293,short,1.28778,1.28666,1.28573,-1,1.28649
2019-01-18,signal_short,1.29929,1.29657,27.2,1.28335,1.29293,short,1.29751,1.29745,1.29538,-1,1.29657
2019-01-21,no_breakout_in_window,1.28788,1.28469,31.9,1.28739,1.29252,short,1.28678,1.28714,1.28664,0,
2019-01-22,signal_short,1.2899,1.28717,27.3,1.28739,1.29252,short,1.28724,1.28759,1.28678,-1,1.28717
2019-01-23,no_breakout_in_window,1.2964,1.29471,16.9,1.28739,1.29252,short,1.29473,1.29617,1.29635,0,
2019-01-24,signal_short,1.30935,1.30663,27.2,1.28739,1.29252,short,1.30738,1.30659,1.30437,-1,1.30663
2019-01-25,range_too_large,1.31283,1.30563,72.0,,,,,,,0,
2019-01-28,no_breakout_in_window,1.32104,1.31837,26.7,1.31971,1.29453,long,1.31909,1.31786,1.31634,0,
2019-01-29,no_breakout_in_window,1.31598,1.31405,19.3,1.31971,1.29453,long,1.31521,1.31543,1.3137,0,
2019-01-30,no_breakout_in_window,1.30962,1.30598,36.4,1.31971,1.29453,long,1.30952,1.30797,1.30717,0,
2019-01-31,no_breakout_in_window,1.31365,1.30928,43.7,1.31971,1.29453,long,1.31268,1.31281,1.31342,0,
2019-02-01,no_breakout_in_window,1.31127,1.30764,36.3,1.31971,1.29453,long,1.30981,1.31052,1.31102,0,
2019-02-04,no_breakout_in_window,1.30845,1.30614,23.1,1.30811,1.29554,long,1.30733,1.30724,1.30837,0,
2019-02-05,signal_long,1.30433,1.30258,17.5,1.30811,1.29554,long,1.30373,1.30425,1.30444,1,1.30433
2019-02-06,no_breakout_in_window,1.29613,1.29369,24.4,1.30811,1.29554,long,1.29536,1.29485,1.29361,0,
2019-02-07,no_breakout_in_window,1.2942,1.29251,16.9,1.30811,1.29554,long,1.29316,1.29356,1.29166,0,
2019-02-08,no_breakout_in_window,1.29578,1.29415,16.3,1.30811,1.29554,long,1.29493,1.29475,1.2946,0,
2019-02-11,range_too_small,1.29383,1.29242,14.1,,,,,,,0,
2019-02-12,no_breakout_in_window,1.28703,1.28471,23.2,1.29392,1.29542,short,1.28618,1.28652,1.2873,0,
2019-02-13,no_breakout_in_window,1.29077,1.28864,21.3,1.29392,1.29542,short,1.29149,1.29139,1.29056,0,
2019-02-14,no_breakout_in_window,1.28675,1.28422,25.3,1.29392,1.29542,short,1.28682,1.28692,1.28629,0,
2019-02-15,range_too_small,1.28027,1.27885,14.2,,,,,,,0,
2019-02-18,no_breakout_in_window,1.29197,1.28991,20.6,1.28859,1.29491,short,1.29073,1.29097,1.29079,0,
2019-02-19,no_breakout_in_window,1.29255,1.28949,30.6,1.28859,1.29491,short,1.29025,1.29004,1.29083,0,
2019-02-20,signal_short,1.30759,1.30541,21.8,1.28859,1.29491,short,1.30537,1.30468,1.30436,-1,1.30541
2019-02-21,no_breakout_in_window,1.30596,1.30265,33.1,1.28859,1.29491,short,1.303,1.30286,1.30385,0,
2019-02-22,no_breakout_in_window,1.30476,1.30233,24.3,1.28859,1.29491,short,1.30332,1.30391,1.3037,0,
2019-02-25,signal_long,1.30755,1.30453,30.2,1.30526,1.29568,long,1.30701,1.30705,1.30829,1,1.30755
2019-02-26,signal_long,1.31479,1.30955,52.4,1.30526,1.29568,long,1.31285,1.31341,1.3151,1,1.31479
2019-02-27,no_breakout_in_window,1.32609,1.32406,20.3,1.30526,1.29568,long,1.32466,1.32404,1.32559,0,
2019-02-28,no_breakout_in_window,1.33191,1.32951,24.0,1.30526,1.29568,long,1.33046,1.32997,1.32855,0,
2019-03-01,range_too_small,1.32659,1.3252,13.9,,,,,,,0,
2019-03-04,no_breakout_in_window,1.32441,1.32275,16.6,1.32027,1.2975,long,1.32283,1.32288,1.32382,0,
2019-03-05,no_breakout_in_window,1.31807,1.31492,31.5,1.32027,1.2975,long,1.31602,1.3156,1.317,0,
2019-03-06,no_breakout_in_window,1.31784,1.31234,55.0,1.32027,1.2975,long,1.31358,1.31394,1.314,0,
2019-03-07,no_breakout_in_window,1.31843,1.31649,19.4,1.32027,1.2975,long,1.31809,1.31673,1.31674,0,
2019-03-08,no_breakout_in_window,1.30982,1.30768,21.4,1.32027,1.2975,long,1.30885,1.30915,1.30856,0,
2019-03-11,signal_long,1.29934,1.29594,34.0,1.30154,1.2978,long,1.29794,1.29849,1.30121,1,1.29934
2019-03-12,range_too_large,1.32884,1.31864,102.0,,,,,,,0,
2019-03-13,signal_long,1.30919,1.30612,30.7,1.30154,1.2978,long,1.30985,1.31041,1.31429,1,1.30919
2019-03-14,range_too_large,1.33236,1.32387,84.9,,,,,,,0,
2019-03-15,no_breakout_in_window,1.32653,1.3231,34.3,1.30154,1.2978,long,1.32338,1.32473,1.32227,0,
2019-03-18,no_breakout_in_window,1.32996,1.32841,15.5,1.329,1.30011,long,1.32807,1.32798,1.32918,0,
2019-03-19,no_breakout_in_window,1.32802,1.32423,37.9,1.329,1.30011,long,1.32687,1.3274,1.32698,0,
2019-03-20,no_breakout_in_window,1.32719,1.32515,20.4,1.329,1.30011,long,1.32556,1.32483,1.3236,0,
2019-03-21,no_breakout_in_window,1.32266,1.31841,42.5,1.329,1.30011,long,1.32096,1.32188,1.31785,0,
2019-03-22,no_breakout_in_window,1.31423,1.31091,33.2,1.329,1.30011,long,1.31413,1.31418,1.31418,0,
2019-03-25,no_breakout_in_window,1.32169,1.31833,33.6,1.32077,1.30164,long,1.31936,1.31737,1.31853,0,
2019-03-26,no_breakout_in_window,1.32228,1.31819,40.9,1.32077,1.30164,long,1.31796,1.31973,1.32059,0,
2019-03-27,no_breakout_in_window,1.32142,1.31763,37.9,1.32077,1.30164,long,1.31825,1.31878,1.31853,0,
2019-03-28,no_breakout_in_window,1.31943,1.31417,52.6,1.32077,1.30164,long,1.31928,1.31886,1.31634,0,
2019-03-29,signal_long,1.30723,1.30441,28.2,1.32077,1.30164,long,1.30706,1.30748,1.3025,1,1.30723
2019-04-01,signal_long,1.30422,1.3005,37.2,1.3028,1.30173,long,1.30429,1.30571,1.30708,1,1.30422
2019-04-02,range_too_large,1.31135,1.30274,86.1,,,,,,,0,
2019-04-03,signal_long,1.31457,1.31206,25.1,1.3028,1.30173,long,1.31415,1.31402,1.31807,1,1.31457
2019-04-04,signal_long,1.31808,1.3152,28.8,1.3028,1.30173,long,1.31687,1.31823,1.31877,1,1.31808
2019-04-05,signal_long,1.30911,1.30663,24.8,1.3028,1.30173,long,1.30945,1.31094,1.3092,1,1.30911
2019-04-08,no_breakout_in_window,1.30711,1.30215,49.6,1.30326,1.30184,long,1.3065,1.30585,1.30548,0,
2019-04-09,signal_long,1.30806,1.30475,33.1,1.30326,1.30184,long,1.30736,1.30918,1.3082,1,1.30806
2019-04-10,signal_long,1.3058,1.3037,21.0,1.30326,1.30184,long,1.30574,1.30684,1.3076,1,1.3058
2019-04-11,signal_long,1.31031,1.30793,23.8,1.30326,1.30184,long,1.31056,1.30956,1.30834,1,1.31031
2019-04-12,no_breakout_in_window,1.30801,1.30498,30.3,1.30326,1.30184,long,1.30731,1.30603,1.30582,0,
2019-04-15,no_breakout_in_window,1.31019,1.30668,35.1,1.30696,1.30222,long,1.30931,1.30876,1.30797,0,
2019-04-16,no_breakout_in_window,1.31007,1.30784,22.3,1.30696,1.30222,long,1.30888,1.30918,1.30924,0,
2019-04-17,signal_long,1.30575,1.30315,26.0,1.30696,1.30222,long,1.30584,1.30658,1.30502,1,1.30575
2019-04-18,range_too_small,1.30438,1.30305,13.3,,,,,,,0,
2019-04-19,signal_long,1.29961,1.29804,15.7,1.30696,1.30222,long,1.30005,1.29944,1.29948,1,1.29961
2019-04-22,no_breakout_in_window,1.29991,1.29812,17.9,1.29809,1.30191,short,1.2993,1.29925,1.29957,0,
2019-04-23,range_too_small,1.29888,1.29744,14.4,,,,,,,0,
2019-04-24,range_too_small,1.29424,1.29275,14.9,,,,,,,0,
2019-04-25,no_breakout_in_window,1.29159,1.28931,22.8,1.29809,1.30191,short,1.29044,1.29063,1.29104,0,
2019-04-26,no_breakout_in_window,1.29057,1.28846,21.1,1.29809,1.30191,short,1.29012,1.29041,1.29113,0,
2019-04-29,no_breakout_in_window,1.29337,1.29074,26.3,1.29144,1.30114,short,1.29345,1.2933,1.29374,0,
2019-04-30,no_breakout_in_window,1.29439,1.29204,23.5,1.29144,1.30114,short,1.29399,1.29366,1.29397,0,
2019-05-01,no_breakout_in_window,1.30458,1.30283,17.5,1.29144,1.30114,short,1.30403,1.30437,1.30354,0,
2019-05-02,no_breakout_in_window,1.30596,1.30383,21.3,1.29144,1.30114,short,1.3052,1.30455,1.30517,0,
