date,reason,asian_high,asian_low,range_pips,w1_close,w1_ema,trend,london_close_07,london_close_08,london_close_09,signal_dir,entry_price
2021-01-04,no_breakout_in_window,1.36982,1.36443,53.9,1.32448,1.28267,long,1.36836,1.36852,1.36878,0,
2021-01-05,signal_long,1.35961,1.35592,36.9,1.32448,1.28267,long,1.35969,1.3606,1.35695,1,1.35961
2021-01-06,signal_long,1.36465,1.35913,55.2,1.32448,1.28267,long,1.36157,1.36294,1.36584,1,1.36465
2021-01-07,range_too_large,1.36332,1.35726,60.6,,,,,,,0,
2021-01-08,signal_long,1.35723,1.3538,34.3,1.32448,1.28267,long,1.35603,1.35734,1.35774,1,1.35723
2021-01-11,range_too_large,1.35688,1.34915,77.3,,,,,,,0,
2021-01-12,signal_long,1.35302,1.3504,26.2,1.35606,1.28811,long,1.35435,1.35546,1.3553,1,1.35302
2021-01-13,no_breakout_in_window,1.36927,1.36542,38.5,1.35606,1.28811,long,1.36769,1.3675,1.36806,0,
2021-01-14,signal_long,1.3655,1.3616,39.0,1.35606,1.28811,long,1.3639,1.36353,1.36563,1,1.3655
2021-01-15,no_breakout_in_window,1.36975,1.36743,23.2,1.35606,1.28811,long,1.36744,1.36639,1.36627,0,
2021-01-18,no_breakout_in_window,1.35987,1.35599,38.8,1.3582,1.2933,long,1.3572,1.35671,1.35528,0,
2021-01-19,no_breakout_in_window,1.36146,1.3573,41.6,1.3582,1.2933,long,1.36086,1.36067,1.36034,0,
2021-01-20,signal_long,1.3657,1.36225,34.5,1.3582,1.2933,long,1.36544,1.36549,1.36693,1,1.3657
2021-01-21,signal_long,1.3684,1.36476,36.4,1.3582,1.2933,long,1.36944,1.37075,1.36973,1,1.3684
2021-01-22,no_breakout_in_window,1.37357,1.37083,27.4,1.3582,1.2933,long,1.37071,1.36948,1.36684,0,
2021-01-25,signal_long,1.37077,1.36708,36.9,1.36822,1.29885,long,1.37148,1.3715,1.37189,1,1.37077
2021-01-26,no_breakout_in_window,1.36794,1.36461,33.3,1.36822,1.29885,long,1.36531,1.3639,1.36122,0,
2021-01-27,signal_long,1.37517,1.37228,28.9,1.36822,1.29885,long,1.37427,1.37427,1.37532,1,1.37517
2021-01-28,no_breakout_in_window,1.36933,1.36509,42.4,1.36822,1.29885,long,1.36795,1.36769,1.36575,0,
2021-01-29,no_breakout_in_window,1.37326,1.36954,37.2,1.36822,1.29885,long,1.37037,1.37138,1.3699,0,
2021-02-01,signal_long,1.37388,1.36937,45.1,1.36981,1.30411,long,1.37463,1.37405,1.37366,1,1.37388
2021-02-02,no_breakout_in_window,1.3698,1.36542,43.8,1.36981,1.30411,long,1.36869,1.3682,1.36769,0,
2021-02-03,no_breakout_in_window,1.36831,1.36553,27.8,1.36981,1.30411,long,1.36615,1.36529,1.3671,0,
2021-02-04,no_breakout_in_window,1.36527,1.36061,46.6,1.36981,1.30411,long,1.36054,1.36011,1.3591,0,
2021-02-05,no_breakout_in_window,1.36902,1.36603,29.9,1.36981,1.30411,long,1.36814,1.36844,1.36816,0,
2021-02-08,no_breakout_in_window,1.37412,1.37143,26.9,1.37363,1.30926,long,1.37297,1.37297,1.37354,0,
2021-02-09,no_breakout_in_window,1.37837,1.37312,52.5,1.37363,1.30926,long,1.37834,1.3773,1.37821,0,
2021-02-10,signal_long,1.38275,1.38024,25.1,1.37363,1.30926,long,1.38205,1.38191,1.38281,1,1.38275
2021-02-11,signal_long,1.38505,1.38205,30.0,1.37363,1.30926,long,1.38467,1.38534,1.38399,1,1.38505
2021-02-12,no_breakout_in_window,1.38166,1.3787,29.6,1.37363,1.30926,long,1.38006,1.38,1.37928,0,
2021-02-15,signal_long,1.39028,1.38462,56.6,1.38533,1.31489,long,1.38997,1.389,1.39029,1,1.39028
2021-02-16,no_breakout_in_window,1.39521,1.38992,52.9,1.38533,1.31489,long,1.39339,1.39302,1.39115,0,
2021-02-17,no_breakout_in_window,1.39076,1.38618,45.8,1.38533,1.31489,long,1.3891,1.38825,1.38798,0,
2021-02-18,no_breakout_in_window,1.38776,1.38471,30.5,1.38533,1.31489,long,1.38532,1.38515,1.3864,0,
2021-02-19,signal_long,1.39758,1.39511,24.7,1.38533,1.31489,long,1.39721,1.39753,1.39827,1,1.39758
2021-02-22,no_breakout_in_window,1.40519,1.40065,45.4,1.40043,1.32123,long,1.40171,1.40135,1.39918,0,
2021-02-23,signal_long,1.40837,1.40588,24.9,1.40043,1.32123,long,1.40817,1.40652,1.40846,1,1.40837
2021-02-24,range_too_large,1.42409,1.41014,139.5,,,,,,,0,
2021-02-25,no_breakout_in_window,1.4164,1.41269,37.1,1.40043,1.32123,long,1.41624,1.41598,1.41488,0,
2021-02-26,range_too_large,1.40262,1.39424,83.8,,,,,,,0,
2021-03-01,range_too_large,1.39991,1.39279,71.2,,,,,,,0,
2021-03-02,range_too_large,1.39324,1.387,62.4,,,,,,,0,
2021-03-03,signal_long,1.3966,1.39484,17.6,1.3927,1.32652,long,1.39517,1.3955,1.39812,1,1.3966
2021-03-04,signal_long,1.39552,1.39206,34.6,1.3927,1.32652,long,1.39552,1.39612,1.39552,1,1.39552
2021-03-05,no_breakout_in_window,1.39065,1.38668,39.7,1.3927,1.32652,long,1.38856,1.38839,1.38714,0,
2021-03-08,range_too_large,1.38645,1.37976,66.9,,,,,,,0,
2021-03-09,signal_long,1.38501,1.38014,48.7,1.38289,1.3307,long,1.38383,1.38347,1.38782,1,1.38501
2021-03-10,no_breakout_in_window,1.38967,1.38608,35.9,1.38289,1.3307,long,1.38581,1.38688,1.38833,0,
2021-03-11,signal_long,1.39406,1.3917,23.6,1.38289,1.3307,long,1.39389,1.39371,1.39418,1,1.39406
2021-03-12,no_breakout_in_window,1.40046,1.39725,32.1,1.38289,1.3307,long,1.39752,1.39523,1.39426,0,
2021-03-15,no_breakout_in_window,1.39496,1.39162,33.4,1.39186,1.33523,long,1.39071,1.39163,1.39195,0,
2021-03-16,no_breakout_in_window,1.39026,1.38651,37.5,1.39186,1.33523,long,1.38718,1.38597,1.38262,0,
2021-03-17,signal_long,1.39049,1.38779,27.0,1.39186,1.33523,long,1.38808,1.39121,1.39163,1,1.39049
2021-03-18,signal_long,1.39771,1.39357,41.4,1.39186,1.33523,long,1.39566,1.39838,1.39571,1,1.39771
2021-03-19,signal_long,1.39332,1.3892,41.2,1.39186,1.33523,long,1.39154,1.39234,1.39491,1,1.39332
2021-03-22,signal_long,1.38536,1.38171,36.5,1.38628,1.33901,long,1.38546,1.38503,1.38481,1,1.38536
2021-03-23,no_breakout_in_window,1.3864,1.38332,30.8,1.38628,1.33901,long,1.38304,1.38368,1.38435,0,
2021-03-24,no_breakout_in_window,1.37568,1.37035,53.3,1.38628,1.33901,long,1.37079,1.37176,1.36873,0,
2021-03-25,no_breakout_in_window,1.37074,1.36785,28.9,1.38628,1.33901,long,1.36955,1.36835,1.3678,0,
2021-03-26,signal_long,1.37655,1.37324,33.1,1.38628,1.33901,long,1.37661,1.37544,1.37643,1,1.37655
2021-03-29,no_breakout_in_window,1.37979,1.37653,32.6,1.37913,1.34198,long,1.37724,1.37628,1.37654,0,
2021-03-30,signal_long,1.37804,1.37571,23.3,1.37913,1.34198,long,1.37807,1.37645,1.3753,1,1.37804
2021-03-31,signal_long,1.37505,1.37178,32.7,1.37913,1.34198,long,1.37256,1.37278,1.37519,1,1.37505
2021-04-01,no_breakout_in_window,1.37903,1.37711,19.2,1.37913,1.34198,long,1.37668,1.37624,1.37622,0,
2021-04-02,no_breakout_in_window,1.38493,1.38274,21.9,1.37913,1.34198,long,1.38453,1.38458,1.38426,0,
2021-04-05,no_breakout_in_window,1.38426,1.38104,32.2,1.38311,1.34503,long,1.38267,1.38193,1.38314,0,
2021-04-06,signal_long,1.39148,1.38889,25.9,1.38311,1.34503,long,1.39053,1.39151,1.38863,1,1.39148
2021-04-07,no_breakout_in_window,1.38393,1.38174,21.9,1.38311,1.34503,long,1.38298,1.38162,1.37785,0,
2021-04-08,signal_long,1.376,1.37307,29.3,1.38311,1.34503,long,1.37587,1.3761,1.37696,1,1.376
2021-04-09,no_breakout_in_window,1.37504,1.37215,28.9,1.38311,1.34503,long,1.37327,1.37042,1.36786,0,
2021-04-12,no_breakout_in_window,1.37135,1.368,33.5,1.3702,1.34689,long,1.36815,1.36905,1.37096,0,
2021-04-13,no_breakout_in_window,1.37554,1.3729,26.4,1.3702,1.34689,long,1.37263,1.37407,1.3746,0,
2021-04-14,signal_long,1.37731,1.37459,27.2,1.3702,1.34689,long,1.37689,1.37752,1.37987,1,1.37731
2021-04-15,no_breakout_in_window,1.37941,1.37669,27.2,1.3702,1.34689,long,1.3766,1.37738,1.37763,0,
2021-04-16,no_breakout_in_window,1.3787,1.37522,34.8,1.3702,1.34689,long,1.37654,1.37651,1.37236,0,
2021-04-19,signal_long,1.38395,1.38092,30.3,1.38401,1.34964,long,1.38505,1.38539,1.38543,1,1.38395
2021-04-20,signal_long,1.40076,1.39753,32.3,1.38401,1.34964,long,1.40026,1.4002,1.4008,1,1.40076
2021-04-21,no_breakout_in_window,1.39492,1.39251,24.1,1.38401,1.34964,long,1.39201,1.39315,1.3937,0,
2021-04-22,no_breakout_in_window,1.39496,1.39217,27.9,1.38401,1.34964,long,1.39283,1.39344,1.39398,0,
2021-04-23,signal_long,1.38637,1.38304,33.3,1.38401,1.34964,long,1.38637,1.38638,1.38617,1,1.38637
2021-04-26,no_breakout_in_window,1.39074,1.38642,43.2,1.38847,1.35252,long,1.39023,1.38965,1.39056,0,
2021-04-27,no_breakout_in_window,1.39022,1.38746,27.6,1.38847,1.35252,long,1.38889,1.38933,1.3887,0,
2021-04-28,no_breakout_in_window,1.3911,1.3874,37.0,1.38847,1.35252,long,1.38748,1.38818,1.38689,0,
2021-04-29,no_breakout_in_window,1.39767,1.39267,50.0,1.38847,1.35252,long,1.39508,1.39578,1.39617,0,
2021-04-30,no_breakout_in_window,1.39581,1.39266,31.5,1.38847,1.35252,long,1.39453,1.39374,1.39344,0,
2021-05-03,no_breakout_in_window,1.3836,1.37971,38.9,1.38128,1.35465,long,1.38207,1.38118,1.38244,0,
2021-05-04,no_breakout_in_window,1.39133,1.38759,37.4,1.38128,1.35465,long,1.38747,1.38792,1.38854,0,
2021-05-05,no_breakout_in_window,1.39146,1.38806,34.0,1.38128,1.35465,long,1.39092,1.39026,1.39073,0,
2021-05-06,no_breakout_in_window,1.39138,1.38853,28.5,1.38128,1.35465,long,1.38983,1.39073,1.39029,0,
2021-05-07,no_breakout_in_window,1.39117,1.38824,29.3,1.38128,1.35465,long,1.39087,1.39065,1.39077,0,
2021-05-10,signal_long,1.40444,1.39941,50.3,1.3987,1.35791,long,1.40256,1.40432,1.40647,1,1.40444
2021-05-11,no_breakout_in_window,1.41348,1.4113,21.8,1.3987,1.35791,long,1.41254,1.41273,1.41105,0,
2021-05-12,no_breakout_in_window,1.41466,1.41074,39.2,1.3987,1.35791,long,1.41145,1.41164,1.41338,0,
2021-05-13,no_breakout_in_window,1.40783,1.40492,29.1,1.3987,1.35791,long,1.40662,1.40508,1.40534,0,
2021-05-14,signal_long,1.40535,1.40358,17.7,1.3987,1.35791,long,1.40442,1.4054,1.40633,1,1.40535
2021-05-17,signal_long,1.41044,1.40781,26.3,1.40968,1.36175,long,1.40838,1.40853,1.41075,1,1.41044
2021-05-18,signal_long,1.41782,1.41297,48.5,1.40968,1.36175,long,1.4171,1.41657,1.41846,1,1.41782
2021-05-19,no_breakout_in_window,1.42009,1.41795,21.4,1.40968,1.36175,long,1.41877,1.41995,1.41883,0,
2021-05-20,signal_long,1.41215,1.41012,20.3,1.40968,1.36175,long,1.41164,1.41177,1.41225,1,1.41215
2021-05-21,no_breakout_in_window,1.41941,1.41693,24.8,1.40968,1.36175,long,1.41812,1.41866,1.41782,0,
2021-05-24,no_breakout_in_window,1.41601,1.41363,23.8,1.41507,1.3657,long,1.41485,1.41578,1.41517,0,
2021-05-25,signal_long,1.41825,1.41497,32.8,1.41507,1.3657,long,1.41803,1.41765,1.41993,1,1.41825
2021-05-26,signal_long,1.41626,1.41403,22.3,1.41507,1.3657,long,1.41688,1.41598,1.41482,1,1.41626
2021-05-27,no_breakout_in_window,1.41254,1.40914,34.0,1.41507,1.3657,long,1.41134,1.41206,1.41121,0,
2021-05-28,no_breakout_in_window,1.42083,1.41822,26.1,1.41507,1.3657,long,1.41957,1.41857,1.41953,0,
2021-05-31,no_breakout_in_window,1.42006,1.4173,27.6,1.41879,1.36963,long,1.41947,1.41882,1.41804,0,
2021-06-01,no_breakout_in_window,1.4249,1.42033,45.7,1.41879,1.36963,long,1.42332,1.42273,1.42355,0,
2021-06-02,no_breakout_in_window,1.41642,1.41453,18.9,1.41879,1.36963,long,1.41485,1.41516,1.41478,0,
2021-06-03,no_breakout_in_window,1.41798,1.41646,15.2,1.41879,1.36963,long,1.41618,1.41537,1.41532,0,
2021-06-04,no_breakout_in_window,1.41125,1.40949,17.6,1.41879,1.36963,long,1.40948,1.40876,1.41069,0,
2021-06-07,no_breakout_in_window,1.41703,1.41388,31.5,1.41649,1.3731,long,1.41464,1.41333,1.4119,0,
2021-06-08,no_breakout_in_window,1.41846,1.41583,26.3,1.41649,1.3731,long,1.41574,1.41508,1.4154,0,
2021-06-09,signal_long,1.41683,1.41439,24.4,1.41649,1.3731,long,1.41519,1.41568,1.41757,1,1.41683
