slice,oos_year,cr,buf,sm,pf_is,n_is,oos_n,oos_pf_raw,oos_pf_cost,oos_wr,oos_exp_r,oos_max_dd,flags
1,2017,0.5,0.3,0.8,2.0422616165017056,30,4,3.168155856303983,3.154992193453397,0.5,0.6823589629562793,126.65641481750188,
2,2018,0.5,0.3,0.8,1.6742822914929654,23,4,3.883942647995516,3.8672662173954153,0.5,0.8397218864215122,16.945995209932605,
3,2019,0.5,0.3,0.8,2.4747188245694756,22,7,0.7999999999999405,0.7976047904191024,0.2857142857142857,-0.1448571428571853,400.8,PF<0.90
4,2020,0.5,0.3,1.2,1.9255588273302822,23,11,2.9443574344907333,2.9328522386108897,0.6363636363636364,0.5735589931149343,200.39999999999998,
5,2021,0.5,0.3,1.2,2.5720997115744297,27,9,6.295876442275013,6.276323794685642,0.7777777777777778,1.1748614316166697,200.4000000000001,
6,2022,0.5,0.3,1.2,2.9989482866933925,32,7,0.3752627304790395,0.37371529987928104,0.2857142857142857,-0.448240906800686,400.79999999999995,PF<0.90
7,2023,0.5,0.1,1.2,2.180436979612997,35,5,1.3333333333333333,1.3293413173652695,0.4,0.19800000000000004,100.2,
8,2024,0.5,0.1,1.2,2.539171795364881,33,6,1.5640294848594691,1.5589116615363963,0.5,0.2800147424297346,131.39115454215352,
